,SIG_CD,SIG_ENG_NM_x,forest,dem,x,y,slope,farm_cnt,NUMPOINTS,1,2,3,4,5,6,7,8,9,10,11,12,2019,2020,2021,2022,2023
118,26530,사상구,1248,93.66067292,128.9865924,35.15803097,9.224401155,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
119,26530,사상구,1248,93.66067292,128.9865924,35.15803097,9.224401155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
120,26710,기장군,14482,125,129.200956,35.29801166,13.21276223,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
121,26710,기장군,14482,125,129.200956,35.29801166,13.21276223,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
122,26710,기장군,14482,125,129.200956,35.29801166,13.21276223,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
123,27110,중구,150,44.47350599,128.5936058,35.86653529,0.548025901,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
124,27110,중구,150,44.47350599,128.5936058,35.86653529,0.548025901,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
125,27110,중구,150,44.47350599,128.5936058,35.86653529,0.548025901,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
126,27140,동구,276,247.861102,128.6856599,35.93442633,12.83067691,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
127,27140,동구,276,247.861102,128.6856599,35.93442633,12.83067691,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
128,27140,동구,276,247.861102,128.6856599,35.93442633,12.83067691,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
129,27170,서구,678,46.08907444,128.5496976,35.87500167,2.101232041,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
130,27170,서구,678,46.08907444,128.5496976,35.87500167,2.101232041,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
131,27170,서구,678,46.08907444,128.5496976,35.87500167,2.101232041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
132,27200,남구,910,169.6200323,128.5853296,35.83517716,10.57671682,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
133,27200,남구,910,169.6200323,128.5853296,35.83517716,10.57671682,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
134,27200,남구,910,169.6200323,128.5853296,35.83517716,10.57671682,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
135,27230,북구,2285,90.14076031,128.5772044,35.92892237,8.999435068,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
136,27230,북구,2285,90.14076031,128.5772044,35.92892237,8.999435068,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
137,27230,북구,2285,90.14076031,128.5772044,35.92892237,8.999435068,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
138,27260,수성구,3771,154.6158438,128.6612744,35.83384886,10.73697421,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
139,27260,수성구,3771,154.6158438,128.6612744,35.83384886,10.73697421,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
140,27260,수성구,3771,154.6158438,128.6612744,35.83384886,10.73697421,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
141,27290,달서구,2119,113.8916946,128.5292121,35.8274831,8.135595402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
142,27290,달서구,2119,113.8916946,128.5292121,35.8274831,8.135595402,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
143,27290,달서구,2119,113.8916946,128.5292121,35.8274831,8.135595402,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
144,27710,달성군,25577,220.3465187,128.4982256,35.75971594,13.91163399,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,27710,달성군,25577,220.3465187,128.4982256,35.75971594,13.91163399,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
146,27710,달성군,25577,220.3465187,128.4982256,35.75971594,13.91163399,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
147,28110,중구,150,18.0309043,126.4828375,37.46909896,6.396766384,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
148,28110,중구,150,18.0309043,126.4828375,37.46909896,6.396766384,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
149,28110,중구,150,18.0309043,126.4828375,37.46909896,6.396766384,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
150,28140,동구,276,10.78160903,126.6390334,37.48333879,1.651476732,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
151,28140,동구,276,10.78160903,126.6390334,37.48333879,1.651476732,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
152,28140,동구,276,10.78160903,126.6390334,37.48333879,1.651476732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
153,28177,미추홀구,241,22.42587691,126.6646574,37.45259302,2.69619056,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
154,28177,미추홀구,241,22.42587691,126.6646574,37.45259302,2.69619056,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
155,28177,미추홀구,241,22.42587691,126.6646574,37.45259302,2.69619056,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
156,28185,연수구,427,11.21987007,126.6485628,37.39592101,4.623550179,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
157,28185,연수구,427,11.21987007,126.6485628,37.39592101,4.623550179,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
158,28185,연수구,427,11.21987007,126.6485628,37.39592101,4.623550179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
159,28200,남동구,1261,26.77068772,126.7265885,37.43121115,3.316383944,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
160,28200,남동구,1261,26.77068772,126.7265885,37.43121115,3.316383944,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
161,28200,남동구,1261,26.77068772,126.7265885,37.43121115,3.316383944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
162,28237,부평구,828,33.28667963,126.7212094,37.49665874,3.604632582,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
163,28237,부평구,828,33.28667963,126.7212094,37.49665874,3.604632582,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
164,28237,부평구,828,33.28667963,126.7212094,37.49665874,3.604632582,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
165,28245,계양구,1146,36.31405749,126.7346999,37.55729696,3.955402135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
166,28245,계양구,1146,36.31405749,126.7346999,37.55729696,3.955402135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
167,28245,계양구,1146,36.31405749,126.7346999,37.55729696,3.955402135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
168,28260,서구,678,21.93890784,126.6558211,37.55786766,3.155343019,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
169,28260,서구,678,21.93890784,126.6558211,37.55786766,3.155343019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
170,28260,서구,678,21.93890784,126.6558211,37.55786766,3.155343019,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
171,28710,강화군,17712,50.3520823,126.4020854,37.71244078,7.091027039,318,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
172,28710,강화군,17712,50.3520823,126.4020854,37.71244078,7.091027039,318,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
173,28710,강화군,17712,50.3520823,126.4020854,37.71244078,7.091027039,318,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
174,28720,옹진군,11407,33,125.6360667,37.54399185,12.57877692,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
175,28720,옹진군,11407,33,125.6360667,37.54399185,12.57877692,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
176,28720,옹진군,11407,33,125.6360667,37.54399185,12.57877692,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
177,29110,동구,276,235.5791205,126.9494643,35.11738023,17.6022899,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
178,29110,동구,276,235.5791205,126.9494643,35.11738023,17.6022899,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
179,29110,동구,276,235.5791205,126.9494643,35.11738023,17.6022899,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
180,29140,서구,678,36.52539071,126.8507191,35.13569311,2.84879888,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
181,29140,서구,678,36.52539071,126.8507191,35.13569311,2.84879888,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
182,29140,서구,678,36.52539071,126.8507191,35.13569311,2.84879888,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
183,29155,남구,910,61.38863571,126.8567181,35.09405825,5.671299881,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
184,29155,남구,910,61.38863571,126.8567181,35.09405825,5.671299881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
