SIG_CD,distance,time,forest,season,NUMPOINTS,x,y
42230,2.1865989001096255,201911,102169.0,1,0,129.1218986,37.27744922
42230,2.1865989001096255,201912,102169.0,1,0,129.1218986,37.27744922
42720,1.0403718001641098,201910,148328.0,1,0,128.0742609,37.74504907
42720,1.0403718001641098,201911,148328.0,1,0,128.0742609,37.74504907
42720,1.0403718001641098,201912,148328.0,1,0,128.0742609,37.74504907
42730,1.1470357257673625,201910,72054.0,1,0,128.0770674,37.50914207
42730,1.1470357257673625,201911,72054.0,1,0,128.0770674,37.50914207
42730,1.1470357257673625,201912,72054.0,1,0,128.0770674,37.50914207
42750,1.6677706794410383,201910,89690.0,1,0,128.500296,37.20411361
42750,1.6677706794410383,201911,89690.0,1,0,128.500296,37.20411361
42750,1.6677706794410383,201912,89690.0,1,0,128.500296,37.20411361
42760,1.4891413524892139,201910,119088.0,1,0,128.48259,37.55683921
42760,1.4891413524892139,201911,119088.0,1,0,128.48259,37.55683921
42760,1.4891413524892139,201912,119088.0,1,0,128.48259,37.55683921
42770,1.7948113873129505,201910,99786.0,1,0,128.7390632,37.37868629
42770,1.7948113873129505,201911,99786.0,1,0,128.7390632,37.37868629
42770,1.7948113873129505,201912,99786.0,1,0,128.7390632,37.37868629
42780,0.32560527256098865,201910,63894.0,1,6,127.3989244,38.23908523
42780,0.32560527256098865,201911,63894.0,1,7,127.3989244,38.23908523
42780,0.32560527256098865,201912,63894.0,1,4,127.3989244,38.23908523
42790,0.585855741502235,201910,79641.0,1,0,127.6851657,38.13842628
